reviewId,content,sentiment,topic_id,topic_name,business_category,main_topic_prob,alt_topic_1,alt_topic_1_name,alt_topic_1_prob
e74e2ec0-09c5-439a-8d6d-1bee2079ab87,mantappppp,positif,-1,Sippp Baik Cool,Lain-lain / Noise,0.0,3,Mantap Banget Keren,0.8207703828811646
81c2f653-505a-4488-a0fc-492909131ef6,"Bintang 5 aja dulu,hahahaha",positif,-1,Sippp Baik Cool,Lain-lain / Noise,0.0,24,Promo Membanyaki Kode,0.64301598072052
bce09810-7e6b-48e6-bbd5-74420e5eea5f,Tidaknjelas dan tdk tersusun rapi,negatif,-1,Tidaknjelas Bertarif Rapi,Lain-lain / Noise,0.0,26,Buang2 Duit Responnya,0.5399847030639648
de4e3c64-b013-4589-a26a-6c1b5a1fcd57,Sekarang kok bertarif ya,negatif,-1,Tidaknjelas Bertarif Rapi,Lain-lain / Noise,0.0,11,Gratis Kira Doang,0.7123616933822632
9e4d1490-cb20-4102-b5f6-6c909a5f3dc2,gak ngecewain,positif,-1,Sippp Baik Cool,Lain-lain / Noise,0.0,1,Good Ok Bagus,0.6660890579223633
98102207-d9d0-45df-9f51-1e04a272e959,chatt berlangsung dengan baik,positif,-1,Sippp Baik Cool,Lain-lain / Noise,0.0,6,Cepat Respon Pengiriman,0.6246283054351807
bd0d35be-2564-41c0-9151-c972c1cea9e6,Gooooodddd,positif,-1,Sippp Baik Cool,Lain-lain / Noise,0.0,3,Mantap Banget Keren,0.6396876573562622
c0e46fb7-be69-42dd-bb6b-c8c4b85b1c27,Respinsif dan jelaa,positif,-1,Sippp Baik Cool,Lain-lain / Noise,0.0,19,Responsif Dokternya Karlina,0.6351490020751953
a00731c3-4ea5-431c-ae6a-cc44b09924d8,🙏,positif,-1,Sippp Baik Cool,Lain-lain / Noise,0.0,1,Good Ok Bagus,0.8757702708244324
6933022b-381d-4162-8528-5be505148ac5,Loveee,positif,-1,Sippp Baik Cool,Lain-lain / Noise,0.0,1,Good Ok Bagus,0.7641104459762573
52cce863-c464-49ea-9c34-47c0a1443374,mantappppp,positif,-1,Sippp Baik Cool,Lain-lain / Noise,0.0,3,Mantap Banget Keren,0.8207705020904541
46e10b6c-8b41-403f-9e77-317a03801458,Memberi tahu yg nelpon biasa nipu,positif,-1,Sippp Baik Cool,Lain-lain / Noise,0.0,9,Solusi Berobat Tepat,0.5797191858291626
520f7a9f-f9e6-4f3b-b657-b55be42280f4,perfect,positif,-1,Sippp Baik Cool,Lain-lain / Noise,0.0,1,Good Ok Bagus,0.902499258518219
11e1f1e1-47ca-4df3-b720-7f94a669b1d5,pelayanana baik,positif,-1,Sippp Baik Cool,Lain-lain / Noise,0.0,7,Pelayanan Pelayanannya Ramah,0.8673995733261108
7999ece4-9eb4-4e36-bbc3-96fa00c41aa5,sippp,positif,-1,Sippp Baik Cool,Lain-lain / Noise,0.0,3,Mantap Banget Keren,0.8050495386123657
f8a04d6f-c55f-490c-ad6a-d51936d8794e,bagud,positif,-1,Sippp Baik Cool,Lain-lain / Noise,0.0,1,Good Ok Bagus,0.7619694471359253
55f5a7ee-fd64-4e97-8642-ebdbd8e496d9,gooddd,positif,-1,Sippp Baik Cool,Lain-lain / Noise,0.0,1,Good Ok Bagus,0.789962887763977
b80bad7f-e917-4015-a2de-20c08eef34ef,Baik baik dokter nya,positif,-1,Sippp Baik Cool,Lain-lain / Noise,0.0,19,Responsif Dokternya Karlina,0.7524951696395874
