reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,tgl_update,sentiment,business_category,sub_issue,merge_group,confidence_level
5047e0b8-3769-466a-89ab-f4ab7ff2e1ad,aKang ojan,https://play-lh.googleusercontent.com/a-/ALV-UjXONS5RYKDjvJ94HMzIesDKf-3TW-KeV4iLWf0Yl8zBmQ3BTnWw,"tidak bisa menghubungi apotek dan tidak tahu alamatnya, jadi susah kalau obat yg di kirim salah",1,0,28.8,2026-06-15 07:25:46,"Halo aKang ojan, mohon maaf atas keluhan yang dialami. Kami akan membantumu. Mohon sampaikan detail kendalamu via DM ke @HalodocID (X) atau @Halodoc (Instagram), atau email ke help@halodoc.com, sertakan nomor HP akun Halodoc dan/atau nomor pesanan. Terima kasih.",2026-06-15 07:30:25,28.8,2026-06-22 13:52:01,negatif,Layanan Pengiriman Obat,Kendala pengiriman dan kurir tidak menghubungi penerima,DELIVERY_LOGISTICS_ISSUE,High
47e647a2-a346-4056-90e9-5f3c71785b2c,Issas Antayirp,https://play-lh.googleusercontent.com/a/ACg8ocLIIakYLezB0cNVFSU9Ayyky4veLHa0XwZs2jWtypAB08kjmg=mo,harga 10.000 malah jadi 40.000 an.. banyak banget untung nya,1,0,28.71,2026-06-11 11:13:52,"Halo Issas Antayirp, mohon maaf atas keluhan yang dialami. Kami sedang berupaya memperbaikinya secepatnya. Jika masih butuh bantuan atau ingin menindaklanjuti, mohon DM ke @HalodocID (X) atau @Halodoc (Instagram), atau email ke help@halodoc.com detail kendalamu, termasuk nomor HP akun Halodoc dan/atau nomor pesanan. Terima kasih.

",2026-06-11 11:22:52,28.71,2026-06-22 13:52:01,negatif,Layanan Konsultasi Medis,Dokter tidak merespons dan pengembalian dana tidak diproses,PAYMENT_CONSULTATION_ERROR,Medium
38d5c4d9-f2f2-480d-aff9-d64647e3515a,rosyada maqvira,https://play-lh.googleusercontent.com/a-/ALV-UjUWIcTi83cxIBf7JUDyuMXXND953gRBeTyk6_gQ8DoWBn1QDCWz,"jelek bngt pelayanannya, saya sudah bayar. Pas mulai konsul dokternya suruh kirim foto, sampai waktu habis ga ada jawaban sama sekali, sia sia saya ngeluarin uang, meskipun cuma 61rb tapi itu banyak loh. 61rb tanpa dapat apapun solusi dari dokternya???",1,1,28.71,2026-06-09 21:55:22,"Halo rosyada maqvira, mohon maaf atas keluhan yang dialami. Kami sedang berupaya memperbaikinya secepatnya.

Jika masih butuh bantuan atau ingin menindaklanjuti, mohon DM ke @HalodocID (X) atau @Halodoc (Instagram), atau email ke help@halodoc.com detail kendalamu, termasuk nomor HP akun Halodoc dan/atau nomor pesanan.

Terima kasih.",2026-06-09 22:03:09,28.71,2026-06-22 13:52:01,negatif,Layanan Konsultasi Medis,Dokter tidak merespon chat hingga waktu berakhir,CONSULTATION_SERVICE_QUALITY,High
d212b13e-69ea-4a28-bb6f-7279f48f75d5,Putraa Bangun,https://play-lh.googleusercontent.com/a/ACg8ocIFxssr1v82Or5CRljROxhPusPjGupl45Z6tzBWvDEoH8M9TA=mo,"apalah, surat rekomendasi istrahat ndak berlaku,",1,0,28.71,2026-06-09 18:27:12,"Halo Putraa Bangun, mohon maaf atas keluhan yang dialami. Kami sedang berupaya memperbaikinya secepatnya. Jika masih butuh bantuan atau ingin menindaklanjuti, mohon DM ke @HalodocID (X) atau @Halodoc (Instagram), atau email ke help@halodoc.com detail kendalamu, termasuk nomor HP akun Halodoc dan/atau nomor pesanan. Terima kasih.",2026-06-09 20:17:21,28.71,2026-06-22 13:52:01,negatif,Layanan Pengiriman Obat,Ketiadaan opsi pengiriman instan dan durasi pengiriman lama,DELIVERY_DELAY_ISSUE,Medium
e8d434cb-9890-4ed9-afdf-46b084baff8c,Novita Sari,https://play-lh.googleusercontent.com/a-/ALV-UjUi3uxYeQbERRdS6F3dZmZ8JKrcGMvu0XxgbMYKjkc_WL5ZaJHb,Ga banget. Cukup udh uninstall apk kek gini bikin gedeg. Tiap konsul selalu ketemu dokter ga banget. aku udh coba konsul berapa kali pake apk ini ke dokter yg berbeda!!! tiap konsul bayar pun dokternya ga ramah ga peduli bodoh amat krn online mungkin jadi dia bodoh amat keknya dokter indo kebanyakan mesti diupgrade EQnya atau attitude diupgrade deh masa jawabannya gatau ga dibalas ada aja alasan ga bisa ngasih solusi ngabisin duit aja kek chatbot. Kita bayar loh!!! SAYA BAYAR!!!!,1,0,28.701,2026-06-08 21:22:01,"Halo Novita Sari, mohon maaf atas keluhan yang dialami. Kami sedang berupaya memperbaikinya secepatnya. Jika masih butuh bantuan atau ingin menindaklanjuti, mohon DM ke @HalodocID (X) atau @Halodoc (Instagram), atau email ke help@halodoc.com detail kendalamu, termasuk nomor HP akun Halodoc dan/atau nomor pesanan. Terima kasih.

",2026-06-08 22:57:44,28.701,2026-06-22 13:52:01,negatif,Layanan Pengiriman Obat,Pengiriman obat sangat lambat dan sistem pelacakan bermasalah,DELIVERY_DELAY_ISSUE,High
5bc0e259-b10a-49d2-8455-2ed291cba731,Lita Ferdinan,https://play-lh.googleusercontent.com/a-/ALV-UjXi2vvY2ReEzdsBs-zwtxL71apY8DYcd7QDHgz9fbvgZAYt4lvW,jadwalnya gak jelas' aku udah nunggu ternyata lebih cepat sejam,1,0,28.701,2026-06-08 18:39:43,"Halo Lita Ferdinan, mohon maaf atas keluhan yang dialami. Kami sedang berupaya memperbaikinya secepatnya. Jika masih butuh bantuan atau ingin menindaklanjuti, mohon DM ke @HalodocID (X) atau @Halodoc (Instagram), atau email ke help@halodoc.com detail kendalamu, termasuk nomor HP akun Halodoc dan/atau nomor pesanan. Terima kasih.

",2026-06-08 18:46:36,28.701,2026-06-22 13:52:01,negatif,Layanan Pengiriman Obat,Pengiriman obat sangat lambat dan sistem pelacakan bermasalah,DELIVERY_DELAY_ISSUE,Medium
4c181f99-3d9d-4386-a2ac-478a1b016c2c,D rendoz,https://play-lh.googleusercontent.com/a-/ALV-UjUAEdxnD5uRoGzXq1E-F76mciqN5HERR1PimZ8_Dacl51qqsNft,pelayanan buruk apa lagi admin Heidy Heidy apaan itu admin kagak jelas,1,0,28.701,2026-06-08 15:50:26,"Halo D rendoz, mohon maaf atas keluhan yang dialami. Kami sedang berupaya memperbaikinya secepatnya. Jika masih butuh bantuan atau ingin menindaklanjuti, mohon DM ke @HalodocID (X) atau @Halodoc (Instagram), atau email ke help@halodoc.com detail kendalamu, termasuk nomor HP akun Halodoc dan/atau nomor pesanan. Terima kasih.

",2026-06-08 16:00:19,28.701,2026-06-22 13:52:01,negatif,Layanan Konsultasi Medis,Saldo terpotong namun sesi konsultasi tidak dapat diakses,PAYMENT_CONSULTATION_ERROR,Medium
282a918a-a401-406f-862f-83b11307b5a1,Taufik Hidayat,https://play-lh.googleusercontent.com/a/ACg8ocJtmfFWsfQFBrVlQid_dnGeHjcgOK0TpJ6qfyE2aofKJ9Qifw=mo,"Belum konsul dan menjelaskan apa2...tp sdh dinyatakan chat selesai. Komplain, dinyatakan ttp ga bs konsul lg. Aplikasi pencuri uang 72 rb",1,0,28.7,2026-06-04 08:39:28,"Halo Taufik Hidayat, mohon maaf atas keluhan yang dialami. Kami sedang berupaya memperbaikinya secepatnya. Jika masih butuh bantuan atau ingin menindaklanjuti, mohon DM ke @HalodocID (X) atau @Halodoc (Instagram), atau email ke help@halodoc.com detail kendalamu, termasuk nomor HP akun Halodoc dan/atau nomor pesanan. Terima kasih.",2026-06-04 09:34:01,28.7,2026-06-22 13:52:01,negatif,Layanan Konsultasi Medis,Sesi konsultasi diakhiri sepihak oleh dokter,CONSULTATION_SERVICE_QUALITY,High
ae4fddf4-4ff7-48c7-9b0d-d5c4b34b0311,Nanai,https://play-lh.googleusercontent.com/a-/ALV-UjXm2MGX7x0qMtCltCzFq4xnLTh785zpQxdoTLWyRlfQdmi5XqE9,bisa nggak sih kalau update app itu jangan terlalu maksain plis 😭 kasian hp² yang kentang memo penuh gini kalo mesen obat harus hapus²in dulu keburu meninggal yang ada nanti,1,0,27.41,2026-06-03 19:43:59,"Halo Nanai, mohon maaf atas keluhan yang dialami. Kami sedang berupaya memperbaikinya secepatnya.

Jika masih butuh bantuan atau ingin menindaklanjuti, mohon DM ke @HalodocID (X) atau @Halodoc (Instagram), atau email ke help@halodoc.com detail kendalamu, termasuk nomor HP akun Halodoc dan/atau nomor pesanan.

Terima kasih.",2026-06-03 20:01:01,27.41,2026-06-22 13:52:01,negatif,Layanan Konsultasi Medis,Dokter tidak merespons dan pengembalian dana tidak diproses,PAYMENT_CONSULTATION_ERROR,High
f0a9c8c9-628a-4dd8-9b83-ca3863ba822f,Siti Homsinah,https://play-lh.googleusercontent.com/a-/ALV-UjWGgW60-ezIyGKwdO9hyZA3ZqzWWf-YpWQAXYisxMUdd9vIWPa6,"sumpah cacat bgt saldo shopeepay kepotong 68 rb pdhl chat online dokter spesialis gak hadir. dana nyangkut blm kembali, parah sih lg sakit jd tambah masalah kyk gini. CS nya jg dichat gak bales, gaada solusi!",1,0,28.7,2026-06-01 01:12:41,"Halo Siti Homsinah, mohon maaf atas keluhan yang dialami. Kami sedang berupaya memperbaikinya secepatnya. Jika masih butuh bantuan atau ingin menindaklanjuti, mohon DM ke @HalodocID (X) atau @Halodoc (Instagram), atau email ke help@halodoc.com detail kendalamu, termasuk nomor HP akun Halodoc dan/atau nomor pesanan. Terima kasih.",2026-06-01 07:35:39,28.7,2026-06-22 13:52:01,negatif,Layanan Konsultasi Medis,Saldo terpotong namun sesi konsultasi tidak dapat diakses,PAYMENT_CONSULTATION_ERROR,High
