reviewId,content,topic_id,topic_name,main_topic_prob,alt_topic_1,alt_topic_1_name,alt_topic_1_prob,alt_topic_2,alt_topic_2_name,alt_topic_2_prob
f91e0aa2-4973-46d3-a75d-01d2b95e6039,"aplikasi TDK dpt di buka,pdhal semua saran dan yg di berikan sdh d coba semua,tp ttp TDK bisa kebuka.mhn perhatiany terima kasih.",0,Tolong Tetap Mohon,0.8538603782653809,122,Informasi Sesuai Login,0.8091812133789062,20,Perbaharui Setelah Di,0.8044735193252563
ba2c49fd-4efa-4fce-9a00-4eacf01372a9,gak bisa login malah stuck...,12,Login Malah Update,0.9053711891174316,64,Klik Login Stlah,0.9086897969245911,50,Server Sering Bisa2,0.8891232013702393
b16726d2-10df-4be1-92b5-8598bf11033c,kenapa jp berskala nya lama banget yah??mungkin ada solusinya?,0,Tolong Tetap Mohon,0.7370837926864624,196,Dibantu Malam Dibukaa,0.779153048992157,80,Truss Anu Mental,0.7756511569023132
c668e048-dcb2-4227-b54e-15f06f2466b9,kenapa ya apk dari PEMERINTAH selalu busuk. gmail dan pswrd sudah benar tapi salah. KOCAK,115,Busuk Taiii Vendor,0.6669719219207764,26,Pemerintah Sekelas Buatan,0.7847633957862854,175,Pemerintah Beres Terosss,0.7768492698669434
883f0517-6844-4743-96f1-bafa3c3cd1a7,"pengajuan tgl 2, tgl 9 verifikasi data sampe sekarang belum juga pencairan, lama sekali...",2,Kantor Menunggu Bpjs,0.7593664526939392,62,Pencairan Bsu Proses,0.809837818145752,177,Kepesertaan Memuat Data,0.7793146371841431
db3a98da-b213-4a56-8d6e-f3405212a824,"aplikasi pemerintah tertolol yang pernah ada , system aplikasi belum rangkum , asal jadi peller.",26,Pemerintah Sekelas Buatan,0.7990373373031616,175,Pemerintah Beres Terosss,0.7753878831863403,200,Buang Mempermudah Masyarakat,0.758795976638794
8ab07ef6-61ba-4021-96d8-fda4938c54f6,Udah di download berkali-kali tetap gak bisa dibuka aplikasi nge bug terus parah.,0,Tolong Tetap Mohon,0.8492990732192993,161,Menjalankan Ngebug Rek,0.8811320662498474,4,Setelah Update Semenjak,0.8745557069778442
c5fd9ebb-5a49-4d30-a501-b973ec2951ed,"laporin aja nih ke negara nih,masa cairin duit kita sendri prosesnya selama ini,ini duit kitaaaa woy",10,Persulit Ambil Hak,0.7262308597564697,191,Lu Gaji Pajak,0.7630323171615601,176,Poll Susahin Iklannya,0.7384122014045715
dbd4b840-2636-48e4-b5a6-6fed4ddca12f,"mengapa tidak bisa login ? padahal passwd benar. malah terblokir jadinya. ,👎👎👎👎👎👎👎👎",3,Sandi Email Password,0.8407125473022461,47,Akun Login Klem,0.8283390998840332,86,Login Setelah Upgrade,0.8074512481689453
9e5532f1-5e84-412d-b78e-d1a71b60fcb7,"masaa gabisa dibuka samsek, udh nyobain semua method di yt tetep ga ada yang bisa. Tolong untuk pemerintah lebih diperhatikan dalam pengembangan aplikasi pendukung masyarakatnya",119,Anjing Samsek Enggak,0.6844302415847778,175,Pemerintah Beres Terosss,0.805188775062561,199,Masarakat Sistemnya Hitung,0.8036965131759644
4715876b-9073-4e05-bda4-414da65e0ddc,apk broken,144,Forclose For Close,0.776829719543457,38,Rusak Eror Aneh,0.8199732303619385,115,Busuk Taiii Vendor,0.7794597148895264
6f3307e4-aae2-40b2-85f9-7f0362b16c6d,"Apaan si ini aplikasi, banyak bug bukannya segera di perbaiki malah di cuekin, udah coba hapus cache, uninstall terus install ulang, udah coba restart masih aja force close, Developernya cacat bener",0,Tolong Tetap Mohon,0.8546757698059082,140,Hadehh Kemarin Iya,0.8456551432609558,190,Boro Uplod Brhenti,0.8445301055908203
398d7128-1252-4074-b35b-fbc380dd1f23,burik. klaim jht pas vermuk sampe gagal 3x terus mesti ke kantor cabang. sama aja gausah pake online online kalo ujung² nya begini mah. gembel bgt! era digital tu mestinya buka blokiran aja yaudah via online juga gausah peserta dipersulit mesti datang ke kantor cabang. ya begini digitalisasi buat keuntungan vendor² dan segelintir orang mah. jadi semua dibikin online seolah udah digital dan modern. padahal sistemnya masih sama kek zaman dulu. cuma di bikin ribet aja sama online² sampah ini!,2,Kantor Menunggu Bpjs,0.7798514366149902,186,Sok Abal Orang,0.788505494594574,191,Lu Gaji Pajak,0.7795446515083313
